Name,Values,Is_Presented_In_Table1,,,
Previous_Cerebrovascular_Disease,"Z8673,G450,G451,G453,G454,G458,G459,G460,G461,G462,G463,G464,G465,G466,G467,G468,I6300,I63011,I63012,I63013,I63019,I6302,I63031,I63032,I63033,I63039,I6309,I6310,I63111,I63112,I63113,I63119,I63131,I63132,I63133,I63139,I6320,I63211,I63212,I63213,I63219,I6320,I63211,I6322,I63213,I63219,I63231,I63232,I63233,I63239,I6329,I6330,I63311,I63312,I63313,I63319,I63321,I63322,I63323,I63329,I63331,I63332,I63333,I63339,I63341,I63342,I63343,I63349,I6340,I63411,I63412,I63413,I63419,I63421,I63422,I63423,I63429,I63431,I63432,I63433,I63439,I63441,I63442,I63443,I63449,I6349,I6350,I63511,I63512,I63513,I63519,I63521,I63522,I63523,I63529,I63531,I63532,I63533,I63539,I63541,I65342,I63543,I63549,I6359,I636,I6381,I6389,I639,I6501,I6502,I6503,I6509,I651,I6521,I6522,I6523,I6529,I658,I659,I6601,I6602,I6603,I6609,I6611,I6612,I6613,I6619,I6621,I6622,I6623,I6629,I663,I668,I669,I670,I671,I672,I673,I674,I675,I676,I677,I6781,I6782,I6783,I67841,I67848,I67850,I67858,I6789,I679,I680,I682,I688,H3400,H3401,H3402,H3403,H3410,H3411,H3412,H3413,H34211,H34121,H34213,H34211.H34212,H34213,H34219,H34231,H34232,H34233,H34239",0,,,
Renal_Disease,"I120,I1310,I1310,N030,N031,N032,N033,N034,N035,N036,N037,N038,N039,N03A,N040,N041,N0420,N0421,N0422,N0429,N043,N044,N045,N046,N047,N048,N049,N04A,N050,N051,N052,N053,N054,N055,N056,N057,N058,N059,N05A,N250,N181,N182,N1830,N1831,N1832,N184,N185,N186,N189,N19,Z940",1,,,
Chronic_Pulmonary_Disease,"I278,I279,J40,J41,J42,J43,J44,J45,J47,J60,J61,J62,J63,J64,J65,J66,J67,J69,J701,J684,J703,J84,J961",1,,,
Obesity,"F0150,F01511,F01518,F0152,F0153,F0154,F01A1,F01A11,F01A18,F01A2,F01A2,F01A3,F01B4,F01B0,F01B11,F01B18,F01B2,F011B3,F01B4,F01C0,F01C11,F01C18,F01C2,F01C3,F01C4,F0280,F02811,F02818,F0282,F0283,F0284,F02A0,F02AA11,F02A18,F02A2,F02A3,F02A4,F02B0,F02B11,F02B18",1,,,
Dementia,"F0150,F01511,F01518,F0152,F0153,F0154,F01A1,F01A11,F01A18,F01A2,F01A2,F01A3,F01B4,F01B0,F01B11,F01B18,F01B2,F011B3,F01B4,F01C0,F01C11,F01C18,F01C2,F01C3,F01C4,F0280,F02811,F02818,F0282,F0283,F0284,F02A0,F02AA11,F02A18,F02A2,F02A3,F02A4,F02B0,F02B11,F02B18,F02B2,F02B3,F02B4,F02C0,F02C11,F02C18,F02C2,F02C3,F02C4,F0390,F03911,F03918,F0392,F0393,F0994,F03A0,F03A11,F03A18,F03A2,F03A3,F03A4,F03B0,F03B11,F03B18,F03B2,F03B3,F03B4,F03C0,F03C11,F03C18,F03C2.F03C3,F0C4,F05,F061,G312,G318,G300,G301,G308,G309,G3101,G3109,G311,G312,G914,G94,R4181,R54",1,,,
Myocardial_Infarction,"I252,I2101,I2102,I2109,I211,I2119,I2121,I2129,I213,I214,I219,I21A1,I21A9,I21B,I220,I221,I222,I228,I229,",0,,,
Peripheral_Vascular_Disease,"I70361,I70362,I70363,I70368,I70369,I70391,I70392,I70393,I70398,I70399,I70401,I70402,I70403,I70408,I70409,I70411,I70412,I70413,I70418,I70419,I70421,I70422,I70423,I70428,I70429,I70431,I70432,I70433,I70434,I70435,I70438,I70439,I7045,I70461,I70462,I70462,I70468,I70469,I70491,I70492,I70493,I70498,I70499,I70501,I70502,I70503,I70508,I70509,I70511,I70512,I70513,I70518,I70519,I70521,I70522,I70523,I70528,I70529,I70531,I70532,I70533,I70535,I70535,I70538,I70539,I70541,I70542,I70543,I70544,I70545,I70548,I70549,I7055,I70561,I70562,I70523,I70568,I70569,I70591,I70592,I70593,I70598,I70599,I70601,I70602,I70603,I70604,I70608,I70609,I70621,I70622,I70623,I70628,I70629,I70631,I70632,I70633,I70734,I70735,I70638,I70639,I70641,I70742,I70743,I70744,I70645,I70648,I70649,I7065,I70661,I70662,I70663,I706664,I70665,I70668,I70669,I70691,I70692,I70693,I70698,I70699,I70701,I70702,I70703,I70708,I70709,I70711,I70712,I70713,I70718,I70819,I70721,I70722,I70723,I70728,I70729,I70731,I70732,I70733,I70734,I70735,I70738,I70739,I70741,I70742,I70743,I70744,I70745,I70748,I70749,I70761,I70762,I70763,I70768,I70769,I70791,I70792,I70793,I70798,I70798,I70799,I708,I7090,I7091,I7092,I7100,I71010,I71011,I71012,I71019,I7102,I7103,I7110,I7111,I7112,I7113,I7120,I7121,I7122,I7123,I7130,I7131,I7132,I7133,I7140,I7341,I7142,I7143,I7150,I7151,I7152,I7160,I7161,I7162,I718,I719,I731,I738,I739,I771,I790,I791,I798,K551,K558,K559,Z958,Z959,I720,I721,I722,I723,I724,I725,I726,I728,I729",0,,,
Rheumatic_Disease,"L940,L941,L943,M0500,M05011,M05012,M05019,M05021,M05022,M05029,M05032,M05031,M05039,M05041,M05042,M05049,M05051,M05052,M05059,M05061,M05062,M05069,M05071,M05072,M05079,M0509,M0510,M05111,M05112,M05119,M05121,M05122,M05129,M05131,M05132,M05139,M05141,M05142,M05149,M05151,M05152,M05159,M05161,M05162,M05169,M05171,M05172,M05179,M0519,M05211,M05212,M05219,M05221,M05222,M05229,M05231,M05232,M05239,M05241,M05242,M05249,M05251,M05251,M05259,M05261,M05262,M05269,M05271,M05272,M05279,M0529,M0530,M05311,M05312,M05319,M05321,M05322,M05329,M05331,M05332,M05339,M05341,M05342,M05349,M05351,M05352,M05359,M05361,M05362,M05369,M05371,M05372,M05379,M0540,M05411,M05412,M05419,M05421,M05422,M05429,M05431,M05423,M05439,M05441,M05442,M05449,M05451,M05452,M05459,M05461,M05462,M05469,M05471,M05472,M05479,M0550,M05511,M05512,M05513,M05519,M05521,M05522,M05529,M05531,M05532,M05539,M05541,M05542,M05549,M05551,M05552,M05559,M05561,M05562,M05569,M05571,M05572,M05579,M0560,M05611,M05612,M05619,M05621,M05622,M05629,M05631,M05632,M05639,M05641,M05642,M05649,M05651,M05652,M05659,M05661,M05662,M05669,M05671,M05672,M05679,M0569,M0570,M05711,M05712,M05719,M05712,M05722,M05729,M05731,M05732,M05739,M05741,M05742,M05749,M05751,M05752,M05759,M05761,M05762,M05769,M05771,M05772,M05779,M057A,M0580,M05811,M05812,M05819,M05821,M05822,M05829,M05831,M05832,M05839,M05841,M05842,M05849,M05851,M05852,M05859,M05861,M05862,M05869,M05871,M05872,M05879,M0589,M058A,M059,M0600,M06011,M06012,M06019,M06021,M06022,M06029,M06031,M06032,M06039,M06041,M06042,M06049,M06051,M06052,M06059,M06061,06062,M06069,M06071,M06072,M06079,M0608,M0609,M060A,M061,M062,M06211,M06212,M06219,M06221,M06222,M06229,M06231,M06232,M06239,M06241,M06242,M06249,M06251,M06252,M06259,M06261,M06262,M06269,M06271,M06272,M06279,M0628,M0629,M06311,M06312,M06319,M06321,M06322,M06329,M06341,M06342,M06349,M06351,M06352,M06359,M06361,M06362,M06369,M06371,M06372,M06379,M0638,M0639,M0680,M06811,M06812,M06819,M06821,M06822,M06829,M06831,M06832,M06839,M06841,M06842,M06849,M06851,M06852,M06859,M06861,M06862,M06869,M06871,M06872,M06879,M0688,M0689,M068A,M069,M300,M301,M302,M303,M308,M30,M310,M3110,M3111,M3119,M312,M3130,M3131,M320,M3210,M3211,M3212,M3213,M3214,M3215,M3219,M328,M329,M3300,M3301,M3302,M3303,M3309,M3310,M3311,M3312,M3313,M3319,M3320,M3321,M3322,M3329,M3390,M3391,M3392,M3393,M3399,M340,M341,M342,M3481,M3482,M3483,M3489,M349,M3500,M3501,M3502,M3503,M3504,M3505,M3506,M3507,M3508,M3509,M350A,M350B,M350C,M351,M352,M353,M354,M355,M356,M357,M358,M3581,M3589,M359,M360,M361,M362,M363,M364,M3658",0,,,
Peptic_Ulcer_Disease,"K250,K251,K252,K253,K254,K255,K257,K259,K260,K261,K262,K263,K264,K265,K267,K269,K270,K271,K272,K273,K274,K276,K275,K277,K279,K28-,K281,K282,K283,K284,K286,K285,K287,K289",0,,,
Mild_Liver_Disease,"B180,B181,B182,B188,B189,K700,K7010,K7011,K702,K7030,K7031,K713,K714,K7150,K7151,K171,K730,K731,K732,K738,K739,K7400,K7401,K7402,K741,K742,K743,K744,K745,K7460,K7469,K760,K764,K768,K769,Z944",0,,,
Diabetes_Without_Chronic_Complications,"E089,E099,E109,E119,E139",0,,,
Diabetes_With_Chronic_Complications,"E0821,E0822,E0829,E0831,E0832,E0839,E08311,E08319,E083211,E083212,E083213,E083219,E083291,E083292,E0900,E083293,E083299,E083311,E083312,E083313,E083319,E083391,E083392,E083393,E083399,E083411,E083412,E08313,E083419,E083491,E083492,E083493,E083499,E083511,E083512,E083513,E083519,E083521,E083522,E083523,E083529,E083531,E083532,E083533,E083539,E083541,E083542,E083543,E083549,E083551,E083552,E083553,E083559,E083591,E083592,E083593,E083599,E0836,E0837X1,E0837X2,E0837X3,E0837X9,E0840,E0841,E0842,E0843,E0844,E0849,E0851,E0852,E0859,E08610,E08610,E08620,E08622,E08628,E08630,E08638,E08641,E08649,E0865,E0869,E088,E089,E0921,E0922,E0929,E09311,E09319,E093211,E093212,E093213,E093219,E093291,E093292,E093293,E093299,E093311,E093312,E093313,E093319,E093391,E093392,E093393,E093399,E093411,E093412,E093413,E093419,E093491,E093492,E093493,E093494,E093511,E093512,E093513,E093519,E093521,E093522,E0935232,E093529,E093531,E093532,E093533,E093539,E093541,E093542,E093543,E093549,E093551,E093552,E093553,E093559,E093591,E093592,E093593,E093599,E0936,E0937X1,E0937X2,E0937X3,E0937X9,E0939,E0940,E0941,E0942,E0943,E0949,E0944,E0951,E0952,E0959,E09610,E09611,E09618,E09620,E09621,E090952,E0959,E09610,E09618,E09620,E09621,E09622,E09628,E09630,E09638,E09641,E09649,E0969,E098,E1021,E1022,E1029,E10311,E10319,E103211,E103212,E103123,E103129,E103291,E103292,E103293,E103299,E103311,E103312,E103313,E103314,E103391,E103392,E103393,E103399,E103411,E104312,E103413,E103419,E103491,E103492,E103493,E103499,E103511,E103512,E103513,E103519,E103521,E103523,E103529,E103531,E103532,E103533,E103539,E103541,E103542,E103543,E103549,E103551,E103552,E103533,E103559,E103591,E103592,E103593,E103599,E1037X1,E1037X2,E1037X3,E1037X4,E1040,E1041,E1042,E1043,E1044,E1049,E1051,E1052,E1059,E10610,E10618,E10620,E10621,E10622,E10623,E10628,E10630,E10638,E10641,E10649,E1065,E1069,E108,E1121,E1122,E1129,E11311,E11319,E113211,E113212,E113213,E113219,E113291,E113292,E113293,E113299,E113311,E113312,E113313,E113319,E113391,E113392,E113393,E113399,E113411,E113412,E113413,E113419,E113491,E113492,E113493,E113499,E113511,E113512,E113513,E113519,E113521,E113522,E113523,E113529,E113531,E113532,E113533,E113539,E113541,E113542,E113543,E113549,E113551,E113552,E113553,E113559,E113591,E113592,E113593,E113599,E1136,E1137X1,E1137X2,E1137X3,E1137X9,E1139,E1140,E1141,E1142,E1143,E1144,E1149,E1151,E1152,E1159,E11610,E11618,E11620,E11621,E11622,E11628,E11630,E11638,E11641,E11649,E1165,E1169,E118,E1321,E1322,E1329,E13311,E13319,E133211,E133212,E133213,E133219,E133291,E133292,E133299,E133311,E133312,E133313,E133319,E133391,E133392,E133393,E133399,E133411,E133412,E133413,E133419,E133491,E133492,E133493,E133499,E133511,E133512,E133513,E133519,E133521,E133522,E133523,E133529,E133531,E133532,E133533,E133539,E133541,E133542,E133543,E133549,E133551,E133552,E133553,E133559,E133591,E133592,E133593,E133599,E1336,E1337X1,E1337X2,E1337X3,E1337X9,E1340,E1341,E1342,E1343,E1344,E1349,E1351,E1352,E1359,E13610,E13618,E13620,E13621,E13628,E13630,E13638,E13641,E13649,E1365,E1369,E138",0,,,
Hemiplegia,"G041,G114,G800,G801,G802,G8100,G8101,G8102,G8103,G8104,G8110,G8111,G8112,G8113,G8114,G8190,G8191,G8192,G8193,G8194,G8220,G8221,G8222,G8250,G8251,G8252,G8253,G830,G8310,G8311,G8312,G8313,G8314,G8320,G8321,G8322,G8323,G8324,G8330,G8331,G8332,G8333,G8334,G834,G835,G8381,G8382,G8383,G8384,G8389,G839",0,,,
